User
UserID, GroupID, UserName, Password, ExpirationDate, FullName, Department, PhoneNumber, MobileNumber, Email, Enabled, UserRights, LogTimes, Status, IsPwdForEver, LockedDate, EVPerHour, EVPerHour_sheet, HourPerDay, DayPerWeek, DayPerMonth, ActivityState, EVPerDay, EVPerMonth, SiteID, AllowModifyPassword, ExpirationPeriod, AccountID
2, 1, admin, 2CavI0FUOmMzDjNisAAm/w==, 8/30/2016 1:35:24 PM, Administrator, , , , , 1, 111111111111111111111111111111111111111111111111111111110, 0, 1, 1, , 8000, 8000, 8, 5, 22, 2, 2800, 28000, , 1, 0, 
3, 4, tech, 91HmDkyHFiyqu1yCaoEBUg==, 8/30/2016 1:35:24 PM, technician, , , , , 1, 110011001111101111111111110111111111001011101000000000000, 0, 1, 1, , 8000, 8000, 8, 5, 22, 2, 2800, 28000, , 1, 0, 
4, 3, Jim, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:22:07 PM, Jim, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 182, 
5, 3, John, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:22:26 PM, John, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 182, 
6, 3, Amy, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:22:41 PM, Amy, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 182, 
7, 3, Ashley, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:23:00 PM, Ashley, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 182, 
8, 3, Alec, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:23:14 PM, Alec, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 182, 
9, 3, Kent, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:23:25 PM, Kent, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 182, 
10, 3, Paul, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:23:36 PM, Paul, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 182, 
11, 3, Chris, 7Sf8XYVrIhz0tbJP7fJ2ZQ==, 2/21/2017 8:23:49 PM, Chris, , , , , , 00000000000010000000001110001000000000000000100000000001, -1, 1, 0, , 8000, 8000, 8, 5, 22, 2, , , , 1, 182, 
